ID     IAUNAME     M2    Teffwd
578     SDSSJ092313.99+205119.9     0.38    12110
653     SDSSJ094935.51+483405.2     0.118    12110
1103     SDSSJ140526.06+111423.5     0.255    12110
1191     SDSSJ151212.07+015230.4     0.196    12110
1604     SDSSJ000447.77+291140.9     0.464    12110
2032     SDSSJ044218.26-044820.2     0.38    12110
2099     SDSSJ095953.52-011504.4     0.319    12110
2399     SDSSJ012818.55+214626.4     0.319    12110
3135     SDSSJ165250.66+293957.0     0.319    12110
3219     SDSSJ224511.64+061005.4     0.319    12110
206     SDSSJ025753.40-003159.4     0.319    12120
323     SDSSJ075145.77+271120.7     0.35    12196
42     SDSSJ003643.33+252754.9     0.118    12250
135     SDSSJ020210.81-011525.4     0.255    12250
163     SDSSJ021849.98+005739.2     0.38    12250
251     SDSSJ033301.51-011042.0     0.255    12250
381     SDSSJ081233.38+232250.1     0.196    12250
558     SDSSJ091809.57+175216.2     0.149    12250
725     SDSSJ101805.56+463309.9     0.118    12250
1062     SDSSJ133130.27+662304.8     0.196    12250
1160     SDSSJ144846.85+071304.3     0.196    12250
1214     SDSSJ152717.24+002413.3     0.319    12250
1305     SDSSJ161505.51+235746.3     0.38    12250
1596     SDSSJ234929.47+435307.3     0.319    12250
1627     SDSSJ044340.78-062131.9     0.38    12250
1830     SDSSJ134737.98+055723.8     0.255    12250
1868     SDSSJ150102.33+150429.6     0.255    12250
2017     SDSSJ023938.04+273654.0     0.319    12250
2121     SDSSJ105730.98+474614.3     0.431    12250
2254     SDSSJ022346.26+230150.9     0.38    12250
2284     SDSSJ102118.15+265101.1     0.255    12250
2463     SDSSJ025221.44+023554.8     0.118    12250
2871     SDSSJ120747.25+581002.8     0.255    12250
2880     SDSSJ122142.75+515603.2     0.255    12250
2897     SDSSJ124711.21+373618.3     0.255    12250
3100     SDSSJ160741.97+301246.9     0.149    12250
3153     SDSSJ171233.39+434017.6     0.149    12250
63     SDSSJ005208.42-005134.6     0.38    12300
85     SDSSJ011123.89+000935.3     0.431    12321
989     SDSSJ124342.94+144955.6     0.255    12323
717     SDSSJ101612.61+324239.1     0.255    12392
786     SDSSJ104738.24+052320.3     0.255    12392
947     SDSSJ122149.09+285628.2     0.319    12392
982     SDSSJ123942.13+483037.9     0.319    12392
1120     SDSSJ141912.57+072816.8     0.319    12392
1139     SDSSJ143547.87+373338.5     0.255    12392
1354     SDSSJ164447.28+422851.5     0.319    12392
1593     SDSSJ234749.84+431424.6     0.255    12392
2587     SDSSJ082147.89+470721.4     0.255    12392
2595     SDSSJ082654.37+515951.4     0.255    12392
2881     SDSSJ122605.81-014620.6     0.12    12392
2938     SDSSJ133141.62+175205.6     0.319    12392
3009     SDSSJ143611.75+091539.4     0.38    12392
3137     SDSSJ165315.20+504050.6     0.12    12392
3203     SDSSJ222111.22+215743.0     0.149    12392
3208     SDSSJ223141.55+083118.6     0.196    12392
1908     SDSSJ155720.69+144217.6     0.255    12393
241     SDSSJ032510.84-011114.1     0.458    12481
249     SDSSJ032842.92+001749.7     0.431    12504
72     SDSSJ010045.94+150659.2     0.255    12536
417     SDSSJ082455.61+272242.5     0.255    12536
562     SDSSJ091856.12+411317.8     0.149    12536
569     SDSSJ092104.12+425044.5     0.12    12536
803     SDSSJ105756.93+130703.5     0.255    12536
1189     SDSSJ151046.74+022159.2     0.149    12536
1414     SDSSJ194849.45+771640.8     0.149    12536
1485     SDSSJ220705.42-002109.6     0.38    12536
1490     SDSSJ221616.59+010205.6     0.255    12536
1595     SDSSJ234844.93+002942.4     0.38    12536
2037     SDSSJ064723.99+840724.1     0.38    12536
